machine,algorithm,task,condition,params,before_acc,final_acc,gain,acc_minus_majority,margin,loss,phase_gap,hidden_gap,cascade_acc,cascade_pred_valid_rate,cascade_mean_yes_prob,permute_acc_delta,zero_acc_delta,noise_acc_delta,path
persvati,exact_rl,vm_trace,phase_dynamic_qk_film_alibi_normalized,1602064,0.4830729166666667,0.5690104166666666,0.08593749999999994,0.06901041666666663,0.45296358873990056,1.397437602254892,0.8210583237620691,-0.4061192219766478,0.5026041666666666,0.010416666666666666,0.47683988155424434,-0.0625,-0.0625,-0.0234375,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/vm_trace_len9/results.json
persvati,exact_rl,vm_trace,relation_value_qk_film_alibi_normalized,1650580,0.4947916666666667,0.5078125,0.013020833333333315,0.0078125,0.07880834528380849,0.7287702327497149,-0.040599906661858164,-0.27413088742954034,0.6458333333333334,0.15625,0.47649425021403724,0.01171875,0.00520833333333337,-0.0013020833333333703,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/vm_trace_len9/results.json
persvati,grpo_enum,algebraic_protocol,standard_alibi,1397504,0.4427083333333333,0.8294270833333334,0.38671875000000006,0.32942708333333337,1.8931088219493784,0.4391768920298394,,1.1757375419450302,,,,,,,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/algebraic_protocol_depth4/results.json
persvati,grpo_enum,algebraic_protocol,phase_dynamic_qk_film_alibi_normalized,1617424,0.4947916666666667,0.8580729166666666,0.36328124999999994,0.35807291666666663,1.8722184470874101,0.3582651675848562,1.1864013925660402,0.8645533626743903,,,,-0.14453125,-0.203125,-0.01041666666666663,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/algebraic_protocol_depth4/results.json
persvati,grpo_enum,algebraic_protocol,relation_value_qk_film_alibi_normalized,1665940,0.5208333333333334,0.8489583333333334,0.328125,0.34895833333333337,2.173115199955646,0.4070705275735236,-0.022977147406587996,1.1456161156917612,,,,-0.07421875,-0.05078125,0.0078125,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/algebraic_protocol_depth4/results.json
persvati,grpo_enum,cap_matching,standard_alibi,1372928,0.45703125,0.7578125,0.30078125,0.22005208333333337,1.2863729270757176,0.4960387049577548,,0.13666070477726558,,,,,,,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/cap_matching_depth6/results.json
persvati,grpo_enum,cap_matching,phase_dynamic_qk_film_alibi_normalized,1592848,0.52734375,0.65625,0.12890625,0.11848958333333337,0.4801679719312233,0.5938373090854535,1.0800435110771407,-0.016825521675248936,,,,-0.09114583333333337,-0.05859375,0.00651041666666663,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/cap_matching_depth6/results.json
persvati,grpo_enum,cap_matching,relation_value_qk_film_alibi_normalized,1641364,0.5221354166666666,0.7265625,0.20442708333333337,0.18880208333333337,1.280568402862021,0.5049357516581949,-0.015060751854131617,0.07778584724292159,,,,-0.07161458333333337,-0.03385416666666663,-0.0026041666666666297,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/cap_matching_depth6/results.json
persvati,grpo_enum,dfa_equivalence,standard_alibi,1382144,0.44140625,0.7630208333333334,0.32161458333333337,0.26302083333333337,1.889722822389255,0.5057599854386959,,0.25971274489226437,,,,,,,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/dfa_equivalence_states7/results.json
persvati,grpo_enum,dfa_equivalence,phase_dynamic_qk_film_alibi_normalized,1602064,0.5065104166666666,0.7630208333333334,0.25651041666666674,0.26302083333333337,1.6898404635333766,0.46352510769096017,1.0030737955433626,0.22965716516288617,,,,-0.00390625,0.0,0.0,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/dfa_equivalence_states7/results.json
persvati,grpo_enum,dfa_equivalence,relation_value_qk_film_alibi_normalized,1650580,0.5377604166666666,0.7630208333333334,0.22526041666666674,0.26302083333333337,1.7820314314837258,0.4784951139175367,-0.02017368469387293,0.2404015699867159,,,,0.0,0.0,0.0,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/dfa_equivalence_states7/results.json
persvati,grpo_enum,lambda_trace,standard_alibi,1397504,0.5690104166666666,0.84765625,0.27864583333333337,0.34765625,2.369243060852265,0.39307624427965493,,0.7260630611175051,0.5078125,0.015625,0.17352469862590725,,,,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/lambda_trace_depth4/results.json
persvati,grpo_enum,lambda_trace,phase_dynamic_qk_film_alibi_normalized,1617424,0.4791666666666667,0.7981770833333334,0.3190104166666667,0.29817708333333337,1.8040130205239013,0.43695274964617664,0.5318064709814886,0.4718900408285359,0.5078125,0.015625,0.22325634263874639,-0.01953125,-0.12109375,0.00390625,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/lambda_trace_depth4/results.json
persvati,grpo_enum,lambda_trace,relation_value_qk_film_alibi_normalized,1665940,0.46875,0.796875,0.328125,0.296875,1.9278806166160696,0.44725040575576713,-0.0325936283916235,0.9250800368220855,0.50390625,0.016927083333333332,0.2549121558907144,-0.08463541666666663,-0.04296875,0.00390625,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/lambda_trace_depth4/results.json
persvati,grpo_enum,vm_trace,standard_alibi,1382144,0.5,0.5533854166666666,0.05338541666666663,0.05338541666666663,0.1624289713017788,0.6965774194638167,,-0.04536501046580573,0.5,0.0,0.38339658820169226,,,,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/vm_trace_len9/results.json
persvati,grpo_enum,vm_trace,phase_dynamic_qk_film_alibi_normalized,1602064,0.4830729166666667,0.53125,0.048177083333333315,0.03125,0.13119913290332383,0.6739645580455544,0.8408112675727656,-0.028131789760664105,0.5065104166666666,0.009114583333333334,0.41041120476997833,-0.01822916666666663,-0.01953125,0.01171875,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/vm_trace_len9/results.json
persvati,grpo_enum,vm_trace,relation_value_qk_film_alibi_normalized,1650580,0.4947916666666667,0.53125,0.036458333333333315,0.03125,0.11700758219618972,0.6868589185566331,-0.03894452463525037,-0.03677744558081031,0.51953125,0.022135416666666668,0.48840345345976216,0.0,-0.00390625,0.0,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/vm_trace_len9/results.json
