gate,family,run,task,condition,acc,acc_std,acc_minus_majority,loss_gain,label_gap,dispersion_delta,n,params,verdict,path
fail,graph_alias_probe_unseen_medium,graph_alias_probe_unseen_medium,graph_alias_probe_unseen_medium,bias_only_normalized,0.5,0.0,0.0,-1.3020439147949219,-0.0002627735957503319,-0.0018530046800151467,1.0,216392.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/graph_alias_probe_unseen_medium/results.json
fail,hyper_mps_2026_04_28,blimp_complex_np_island_n150_mps,blimp,standard,0.5011111111111112,0.010183501544346316,0.0011111111111111738,-0.36412083056935085,-0.39016050312254164,0.1405380219221115,3.0,749280.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/blimp_complex_np_island_n150_mps/results.json
fail,hyper_mps_2026_04_28,blimp_complex_np_island_n150_mps,blimp,standard_iso,0.48444444444444446,0.015752718754175346,-0.015555555555555545,-0.6138353912453902,-0.4977382781108221,0.3710423211256663,3.0,889596.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/blimp_complex_np_island_n150_mps/results.json
fail,hyper_mps_2026_04_28,blimp_complex_np_island_n150_mps,blimp,resonance_full_normalized,0.47888888888888886,0.03790827135384886,-0.021111111111111136,-0.22372945463448243,-0.2509594209326638,0.1282342423995336,3.0,883532.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/blimp_complex_np_island_n150_mps/results.json
fail,hyper_mps_2026_04_28,blimp_complex_np_island_n150_mps,blimp,phase_stream_only_normalized,0.4777777777777778,0.03746603400019416,-0.0222222222222222,-0.22352472418232971,-0.2521284969647725,0.1297425627708435,3.0,883532.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/blimp_complex_np_island_n150_mps/results.json
fail,hyper_mps_2026_04_28,blimp_complex_np_island_n150_mps,blimp,phase_dynamic_attn,0.48222222222222216,0.02009237924447235,-0.017777777777777837,-0.33679849641364923,-0.27548793733119964,0.12656285365422568,3.0,909164.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/blimp_complex_np_island_n150_mps/results.json
fail,hyper_mps_2026_04_28,blimp_complex_np_island_n150_mps,blimp,phase_qk_film,0.48,0.006666666666666682,-0.020000000000000018,-0.28405681879896866,-0.3047651157776515,0.21663750211397806,3.0,921548.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/blimp_complex_np_island_n150_mps/results.json
fail,hyper_mps_2026_04_28,blimp_complex_np_island_n150_mps,blimp,phase_dynamic_qk_film,0.4777777777777778,0.022689530951846795,-0.0222222222222222,-0.3596090528002957,-0.3805773605240716,0.3239043851693471,3.0,934316.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/blimp_complex_np_island_n150_mps/results.json
partial,hyper_mps_2026_04_28,debug_complex_np,blimp,standard,0.515625,0.0,0.015625,0.007220819592475891,-0.04936867393553257,-0.2748599797487259,1.0,749280.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/debug_complex_np/results.json
fail,hyper_mps_2026_04_28,debug_complex_np,blimp,standard_iso,0.5,0.0,0.0,-0.029200345277786255,-0.02135248016566038,-0.34132569655776024,1.0,889596.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/hyper_mps_2026_04_28/debug_complex_np/results.json
